record_id,entity_id,Source,Name,Surname,birth_date,Sex,Place Of Birth,Nationality,Codice Belfiore
rec_2,entity_723,B,Elio,Gambuti,12/20/1991,M,Italia,Italia,F572
rec_8,entity_1712,B,Mihai,Mandache,07/23/1976,M,Romania,Romania,Z129
rec_9,entity_64,B,Diletta,Giampiccolo,01/21/1973,F,Italia,Italia,D969
rec_10,entity_859,B,Giorgio,Poggi,07/03/1986,M,Italia,Italia,C566
rec_25,entity_771,B,Enrico,Santorio,04/23/1972,M,Italia,Italia,E063
rec_26,entity_633,B,Sabatino,Polani,10/25/1993,M,Italia,Italia,F839
rec_28,entity_374,B,Aurelio,Lenzi,09/01/1972,M,Italia,Italia,D761
rec_34,entity_971,B,Fabiom,Pasini,07/24/1966,M,Italia,Italia,F585
rec_35,entity_832,B,Ezio,Madonia,04/30/2002,M,Canada,Italia,Z401
rec_36,entity_1898,B,Sylvanus Olatunde,Williams,06/21/1963,M,Nigeria,Nigeria,Z335
rec_37,entity_1694,B,Mohamed Khaldoun,Ragheb,06/05/1998,M,Siria,Siria,Z240
rec_38,entity_330,B,Goffredo,Omma,07/23/1991,M,Italia,Italia,I690
rec_39,entity_1614,B,Ali,Lachkar,12/07/1994,M,Marocco,Marocco,Z330
rec_43,entity_1758,B,Ruslan,Boditeanu,11/13/1995,M,Moldova,Moldova,Z140
rec_45,entity_604,B,Giovanni,Vespga,08/09/1984,M,Italia,Italia,F205
rec_47,entity_1266,B,Roberto,Cassio,05/10/1975,M,Italia,Italia,A401
rec_53,entity_336,B,Matteo,Baldacci,05/26/1992,M,Italia,Italia,F839
rec_56,entity_916,B,Giovanni,Platini,11/24/1975,M,Italia,Italia,D122
rec_57,entity_1296,B,Raffaele,Ametrano,05/09/1977,M,Italia,Italia,E472
rec_60,entity_1873,B,Fares,Al-Ferjani,04/15/1995,M,Tunisia,Tunisia,Z352
rec_62,entity_1522,B,Hicham,Benali,05/18/1976,M,Marocco,Marocco,Z330
rec_63,entity_319,B,Giorgio,Togliati,05/15/1962,M,Italia,Italia,H501
rec_64,entity_689,B,Fabio,Milano,03/01/1968,M,Italia,Italia,G348
rec_65,entity_1955,B,Mustafa,Trajazi,12/21/1988,M,Albania,Albania,Z100
rec_73,entity_6,B,Daniela,Porcelli,04/07/1977,F,Italia,Italia,A546
rec_75,entity_1812,B,Yassine,Djakrir,11/28/1976,M,Algeria,Algeria,Z301
rec_82,entity_478,B,Davide,Simoncelli,12/02/1989,M,Italia,Italia,A662
rec_86,entity_1718,B,Arturo,Fernansez,05/25/1986,M,Peru,Peru,Z611
rec_91,entity_1429,B,Anderi,Igorov,03/13/1962,M,Romania,Romania,Z129
rec_93,entity_1164,B,Sergio,Ballesio,08/07/1982,M,Francia,Italia,Z110
rec_101,entity_1088,B,Severino,Compagnoni,09/04/1984,M,Italia,Italia,L719
rec_103,entity_60,B,Crustina,Pabst,07/27/1981,F,Italia,Italia,E958
rec_104,entity_799,B,Michelangelo,Borriello,03/01/1965,M,Italia,Italia,F205
rec_107,entity_1983,B,KhaledA bdel,Rahman,08/07/1968,M,Egitto,Egitto,Z336
rec_109,entity_657,B,Gaetano,Gramsci,08/16/1964,M,Italia,Italia,D653
rec_110,entity_123,B,Mariano,Antonelli,02/14/1951,M,Italia,Italia,I452
rec_112,entity_396,B,Romano,Battisti,07/11/1965,M,Italia,Italia,G811
rec_113,entity_1947,B,Jacinto,de Jesus Ayala Benjamin,08/31/1998,M,Repubblica Dominicana,Repubblica Dominicana,Z505
rec_116,entity_1721,B,Ognjen,Sokolovi,09/18/1980,M,Bosnia e Erzegovina,Bosnia e Erzegovina,Z153
rec_126,entity_1064,B,Leone,Schiaparelli,06/12/1991,M,Italia,Italia,G691
rec_127,entity_132,B,Carlo,Caglieris,07/06/1999,M,Italia,Italia,H501
rec_128,entity_904,B,Giorgio,Avola,11/25/1990,M,Italia,Italia,G686
rec_137,entity_113,B,Franco,Orgera,12/04/1979,M,Italia,Italia,C852
rec_140,entity_768,B,Carlo,Asinari,01/10/1981,M,Italia,Italia,L781
rec_142,entity_850,B,Giosuè,Barillaro,09/09/1978,M,Italia,Italia,G691
rec_146,entity_1072,B,Ignazio,Nosiglia,04/20/1957,M,Italia,Italia,H501
rec_148,entity_1576,B,Valentin,Creu,10/05/1989,M,Romania,Romania,Z129
rec_150,entity_1388,B,El-Tayeb El-Hadj Ben,Khrlfallah,10/04/1987,M,Algeria,Algeria,Z301
rec_151,entity_89,B,Antoni,Calebotta,07/18/1957,M,Italia,Italia,D711
rec_157,entity_883,B,Iseppi,Gino,07/02/1950,M,Italia,Italia,C986
rec_164,entity_1104,B,Franco,Ciampitti,11/10/1991,M,Italia,Italia,B872
rec_169,entity_300,B,Rodolfo,Rambozzi,06/16/1983,M,Italia,Italia,A963
rec_171,entity_1234,B,Angelo,Cartara,06/09/1953,M,Italia,Italia,G482
rec_172,entity_1447,B,Mohamed,Moustaoui,07/22/1985,M,Marocco,Marocco,Z330
rec_173,entity_1182,B,Giancarli,Agazzi,02/21/1989,M,Italia,Italia,D960
rec_175,entity_1049,B,Gerardo,Gabrieli,12/31/1959,M,Italia,Italia,B602
rec_181,entity_536,B,Flavio,Cannone,08/08/1973,M,Italia,Italia,I377
rec_186,entity_1699,B,Omar,Kadiri,12/25/1980,M,Marocco,Marocco,Z330
rec_193,entity_1544,B,Davor,Vlakovac,02/18/1987,M,Bosnia e Erzegovina,Bosnia e Erzegovina,Z153
rec_194,entity_239,B,Ettore,Boiardo,10/05/1978,M,Italia,Italia,F205
rec_198,entity_66,B,Manuela,Angeli,09/06/1976,F,Italia,Italia,F052
rec_204,entity_790,B,Giuliano,Sinisi,06/29/1989,M,Italia,Italia,H501
rec_214,entity_493,B,Marcello,Tittarelli,08/29/1974,M,Italia,Italia,G273
rec_216,entity_1566,B,Mazen,Tuleimat,09/30/1994,M,Siria,Siria,Z240
rec_222,entity_470,B,Bruno,Finxi,03/12/1962,M,Belgio,Italia,Z103
rec_224,entity_558,B,Gaetano,Gulftta,02/20/1979,M,Italia,Italia,M082
rec_228,entity_824,B,Giorgio,Jegher,01/16/1980,M,Italia,Italia,F205
rec_229,entity_494,B,Luigi Walt3r,Moretti,12/14/1974,M,Italia,Italia,F257
rec_230,entity_1724,B,Mustapha Jaafar,Naitlhou,02/09/1998,M,Marocco,Marocco,Z330
rec_232,entity_861,B,Nicolas,Bean,12/24/1985,M,Italia,Italia,H501
rec_236,entity_1937,B,Stephen,Baidoo,09/04/1989,M,Ghana,Ghana,Z318
rec_238,entity_228,B,Giovanni-Battista,Orlandi,06/03/1979,M,Italia,Italia,A056
rec_239,entity_293,B,Guglielmo,Del Bimbo,05/23/1968,M,Italia,Italia,D612
rec_244,entity_1325,B,Alessandro,Vlotto,06/27/1982,M,Italia,Italia,B962
rec_247,entity_817,B,Sergio Eliseo,Ottolina,12/15/1953,M,Italia,Italia,C740
rec_251,entity_1128,B,Nemo,Agodi,03/12/1993,M,Italia,Italia,C351
rec_255,entity_1267,B,Fortunato,Tosto,05/02/1997,M,Italia,Italia,F839
rec_258,entity_78,B,Andrea,Coda,11/23/1992,M,Italia,Italia,F924
rec_264,entity_1500,B,Arsne Kra,Konan,12/19/1999,M,Costa D'Avorio,Costa D'Avorio,Z313
rec_271,entity_560,B,Romeo,Pugliese,07/17/1970,M,Italia,Italia,E256
rec_277,entity_701,B,Angelo,De Martini,12/17/1949,M,Italia,Italia,H501
rec_281,entity_381,B,Gianni,Giacomini,09/20/1980,M,Italia,Italia,H501
rec_285,entity_83,B,Tarcisio,Burgnich,05/14/1985,M,Italia,Italia,C003
rec_286,entity_587,B,Giampaolo,Manolesso,08/13/1982,M,Italia,Italia,H501
rec_287,entity_1130,B,Valerio,Cleri,04/22/1999,M,Italia,Italia,A182
rec_291,entity_482,B,Oscar,Prati,12/25/1970,M,Italia,Italia,C860
rec_292,entity_1980,B,Dumitru,Musta,11/08/1991,M,Romania,Romania,Z129
rec_294,entity_947,B,Omero,Taddeini,08/26/1978,M,Italia,Italia,H101
rec_298,entity_1697,B,Teodoro,Alcalde Millos,01/11/1993,M,Peru,Peru,Z611
rec_306,entity_1821,B,Macauley,Appas,06/12/1993,M,Nigeria,Nigeria,Z335
rec_310,entity_273,B,Giulio,Cacciandrq,12/20/1998,M,Italia,Italia,F377
rec_312,entity_1334,B,Giorgio,Goldoni,11/28/1978,M,Italia,Italia,H727
rec_314,entity_775,B,Arduino,Tiraboschi,09/23/1971,M,Italia,Italia,I628
rec_323,entity_1740,B,Abdelhamid,Kaoutari,09/25/1978,M,Marocco,Marocco,Z330
rec_327,entity_1098,B,Rodolfo,Pizzamano,10/20/1974,M,Brasile,Italia,Z602
rec_329,entity_459,B,Mauro,Crenna,06/28/1985,M,Italia,Italia,C312
rec_330,entity_61,B,Barbara,Lah,09/25/1991,F,Italia,Italia,F839
rec_333,entity_1358,B,Fernanda Nunes Leal,Ferreira,12/01/1978,F,Brasile,Brasile,Z602
rec_336,entity_1143,B,Melli,Alessandro,03/12/1971,M,Italia,Italia,H501
rec_340,entity_666,B,Dantw,Garzoni,11/21/1984,M,Italia,Italia,F205
rec_341,entity_1606,B,Zeeshan,Ashraf,04/24/2000,M,Pakistan,Pakistan,Z236
rec_342,entity_1958,B,Jamal,Ben,03/08/1985,M,Marocco,Marocco,Z330
rec_344,entity_262,B,Giovanni,Minervini,09/07/1986,M,Italia,Italia,C621
rec_345,entity_385,B,Martino,Foconi,07/01/1977,M,Italia,Italia,I452
rec_346,entity_1835,B,Hassan,Lahmaoui,07/04/1991,M,Marocco,Marocco,Z330
rec_353,entity_221,B,Pierfrancesco,Agostinelli,07/29/1986,M,Italia,Italia,I330
rec_360,entity_165,B,Carlo,Vitrano,08/04/1954,M,Italia,Italia,F839
rec_367,entity_1186,B,Colombo,Andrea,11/20/1968,M,Italia,Italia,F944
rec_369,entity_711,B,Paolo,Pininfarina,04/01/1990,M,Italia,Italia,F284
rec_376,entity_1412,B,Ayoub,Bouziane,07/28/1991,M,Marocco,Marocco,Z330
rec_377,entity_207,B,Cesate,Valle,12/09/1953,M,Italia,Italia,L142
rec_381,entity_1519,B,Mamburray,Jadama,01/01/1988,M,Gambia,Gambia,Z317
rec_382,entity_1348,B,Jinlin,Wang,05/27/2003,F,Cina,Cina,Z210
rec_387,entity_40,B,Nikoleta,Stefanova,01/12/1974,F,Italia,Italia,F205
rec_389,entity_289,B,Renzo,Sambo,06/10/1986,M,Italia,Italia,F158
rec_390,entity_1299,B,Dario,Dentale,12/06/1974,M,Italia,Italia,H926
rec_391,entity_791,B,Giulio,Mimujn,11/18/1982,M,Italia,Italia,G713
rec_392,entity_556,B,Gastonle,Baldi,04/28/1987,M,Italia,Italia,F257
rec_393,entity_1372,B,Nikolay Ivanovich,Paslar,04/24/1994,M,Bulgaria,Bulgaria,Z104
rec_397,entity_1420,B,Sorin,Poenaru,04/07/1978,M,Romania,Romania,Z129
rec_399,entity_1301,B,Fausto,Ferragamo,03/16/1978,M,Italia,Italia,A952
rec_403,entity_75,B,Gianmarco,Rizzoli,09/16/1982,M,Italia,Italia,I684
rec_405,entity_842,B,Marco Aurelio,Fontnaa,07/08/1976,M,Italia,Italia,G888
rec_407,entity_334,B,Dino,Leopardi,04/18/1968,M,Italia,Italia,I496
rec_410,entity_1781,B,Abdel Majid Salah,Naji,07/08/1963,M,Tunisia,Tunisia,Z352
rec_411,entity_979,B,Giovanni,Furlani,08/16/1985,M,Italia,Italia,C860
rec_416,entity_1352,B,Mirsada,Buri,01/19/1978,F,Bosnia e Erzegovina,Bosnia e Erzegovina,Z153
rec_417,entity_1222,B,Donatello,Rossellini,03/16/1978,M,Italia,Italia,L219
rec_419,entity_1533,B,Allamouta,Samateh,07/31/1986,M,Gambia,Gambia,Z317
