record_id,entity_id,Source,Name,Surname,birth_date,Sex,Place Of Birth,Nationality,Codice Belfiore
rec_1,entity_743,C,Mario Tullio,Montano,10-08-1988,M,Italia,Italia,L219
rec_3,entity_1739,C,Al-Farouq Ajiede,Aminu,22-01-1989,M,Nigeria,Nigeria,Z335
rec_5,entity_842,C,Marco Aurelio,Fontana,08-07-1976,M,Italia,Italia,G888
rec_11,entity_1546,C,Iulic,Ruican,02-12-1984,M,Romania,Romania,Z129
rec_13,entity_1839,C,Ssliou,Ciss,24-01-1996,M,Senegal,Senegal,Z343
rec_15,entity_1969,C,Sotir,Peci,24-02-1989,M,Albania,Albania,Z100
rec_16,entity_1024,C,Gianluigi,Polizzi,21-01-1956,M,Italia,Italia,G273
rec_17,entity_1012,C,Piergiuseppe,Carullo,20-04-1989,M,Italia,Italia,G813
rec_19,entity_1498,C,Lansana,Coly,08-06-1987,M,Senegal,Senegal,Z343
rec_20,entity_541,C,Roberto,Tozzi,12-04-1985,M,Italia,Italia,F229
rec_23,entity_1735,C,Ousman,Colley,07-12-1992,M,Gambia,Gambia,Z317
rec_24,entity_1814,C,Laurent,Sarr,01-06-1983,M,Senegal,Senegal,Z343
rec_46,entity_1668,C,Bourama,Mariko,30-01-1989,M,Mali,Mali,Z329
rec_48,entity_1639,C,Omar Mahmud Sayyid,Gaber,05-02-1984,M,Egitto,Egitto,Z336
rec_51,entity_1070,C,Andrea,Alighieri,12-12-1980,M,Italia,Italia,H501
rec_52,entity_1917,C,Ndifreke Effiong,Udo,31-05-1984,M,Nigeria,Nigeria,Z335
rec_55,entity_427,C,Gianfranco,Sibello,11-09-1956,M,Italia,Italia,G337
rec_58,entity_54,C,Marta,Rezoagli,23-08-1975,F,Italia,Italia,E730
rec_59,entity_380,C,Mauro,Pedroni,20-04-1986,M,Italia,Italia,A297
rec_66,entity_189,C,Jury Dimitri,Chechi,23-06-1958,M,Italia,Italia,F839
rec_71,entity_1425,C,Mahmoud,Bouanik,05-02-1977,M,Algeria,Algeria,Z301
rec_77,entity_1433,C,Shaban,Mazreku,02-03-1986,M,Kosovo,Kosovo,Z160
rec_80,entity_209,C,Lorenzo,Morigi,10-12-1993,M,Italia,Italia,C565
rec_83,entity_932,C,Gianpaolo,Pontecorvo,27-12-1997,M,Italia,Italia,D636
rec_84,entity_1298,C,Ennio,Porcellato,22-12-1969,M,Italia,Italia,I754
